Carson City,Democratic,95.8% Reporting,H. Clinton,B. Sanders,Other,Uncommitted,Republican,100% Reporting,D. Trump,M. Rubio,T. Cruz,B. Carson,J. Kasich,C. Christie,R. Paul,J. Bush,C. Fiorina,R. Santorum,M. Huckabee,Churchill County,Democratic,100% Reporting,H. Clinton,B. Sanders,Other,Uncommitted,Republican,100% Reporting,D. Trump,M. Rubio,T. Cruz,B. Carson,J. Kasich,R. Paul,J. Bush,C. Christie,M. Huckabee,C. Fiorina,R. Santorum,Clark County,Democratic,97.8% Reporting,H. Clinton,B. Sanders,Uncommitted,Other,Republican,100% Reporting,D. Trump,M. Rubio,T. Cruz,B. Carson,J. Kasich,R. Paul,J. Bush,C. Fiorina,C. Christie,M. Huckabee,R. Santorum,Douglas County,Democratic,100% Reporting,H. Clinton,B. Sanders,Other,Uncommitted,Republican,100% Reporting,D. Trump,M. Rubio,T. Cruz,B. Carson,J. Kasich,R. Paul,C. Christie,J. Bush,C. Fiorina,M. Huckabee,R. Santorum,Elko County,Democratic,97.6% Reporting,H. Clinton,B. Sanders,Other,Uncommitted,Republican,100% Reporting,D. Trump,T. Cruz,M. Rubio,B. Carson,J. Kasich,R. Paul,J. Bush,C. Christie,C. Fiorina,M. Huckabee,R. Santorum,Esmeralda County,Democratic,100% Reporting,H. Clinton,B. Sanders,Other,Uncommitted,Republican,100% Reporting,D. Trump,T. Cruz,M. Rubio,B. Carson,J. Kasich,J. Bush,C. Christie,C. Fiorina,M. Huckabee,R. Paul,R. Santorum,Eureka County,Democratic,100% Reporting,H. Clinton,B. Sanders,Other,Uncommitted,Republican,100% Reporting,D. Trump,T. Cruz,M. Rubio,B. Carson,J. Kasich,R. Paul,J. Bush,C. Christie,C. Fiorina,M. Huckabee,R. Santorum,Humboldt County,Democratic,100% Reporting,H. Clinton,B. Sanders,Other,Uncommitted,Republican,100% Reporting,D. Trump,T. Cruz,M. Rubio,B. Carson,J. Kasich,J. Bush,M. Huckabee,R. Paul,C. Christie,C. Fiorina,R. Santorum,Lander County,Democratic,100% Reporting,H. Clinton,B. Sanders,Uncommitted,Other,Republican,100% Reporting,D. Trump,T. Cruz,M. Rubio,B. Carson,J. Kasich,R. Paul,J. Bush,C. Christie,C. Fiorina,M. Huckabee,R. Santorum,Lincoln County,Democratic,100% Reporting,H. Clinton,B. Sanders,Other,Uncommitted,Republican,100% Reporting,D. Trump,T. Cruz,M. Rubio,B. Carson,J. Kasich,J. Bush,C. Christie,C. Fiorina,M. Huckabee,R. Paul,R. Santorum,Lyon County,Democratic,100% Reporting,Tweet,B. Sanders,H. Clinton,Other,Uncommitted,Republican,100% Reporting,Tweet,D. Trump,T. Cruz,M. Rubio,B. Carson,J. Kasich,R. Paul,J. Bush,C. Fiorina,M. Huckabee,C. Christie,R. Santorum,Mineral County,Democratic,100% Reporting,Tweet,H. Clinton,B. Sanders,Other,Uncommitted,Republican,100% Reporting,Tweet,D. Trump,M. Rubio,T. Cruz,B. Carson,J. Kasich,J. Bush,C. Christie,C. Fiorina,M. Huckabee,R. Paul,R. Santorum,Nye County,Democratic,100% Reporting,Tweet,H. Clinton,B. Sanders,Uncommitted,Other,Republican,100% Reporting,Tweet,D. Trump,T. Cruz,M. Rubio,B. Carson,J. Kasich,R. Paul,J. Bush,C. Christie,C. Fiorina,M. Huckabee,R. Santorum,Pershing County,Democratic,100% Reporting,Tweet,B. Sanders,H. Clinton,Uncommitted,Other,Republican,100% Reporting,Tweet,D. Trump,T. Cruz,M. Rubio,B. Carson,J. Kasich,J. Bush,C. Christie,C. Fiorina,M. Huckabee,R. Paul,R. Santorum,Storey County,Democratic,100% Reporting,Tweet,B. Sanders,H. Clinton,Other,Uncommitted,Republican,100% Reporting,Tweet,D. Trump,T. Cruz,B. Carson,M. Rubio,J. Kasich,J. Bush,C. Christie,C. Fiorina,M. Huckabee,R. Paul,R. Santorum,Washoe County,Democratic,99.8% Reporting,Tweet,B. Sanders,H. Clinton,Uncommitted,Other,Republican,100% Reporting,Tweet,D. Trump,M. Rubio,T. Cruz,B. Carson,J. Kasich,R. Paul,C. Christie,J. Bush,M. Huckabee,C. Fiorina,R. Santorum,White Pine County,Democratic,100% Reporting,Tweet,H. Clinton,B. Sanders,Other,Uncommitted,Republican,100% Reporting,Tweet,D. Trump,T. Cruz,M. Rubio,B. Carson,J. Kasich,J. Bush,C. Christie,M. Huckabee,C. Fiorina,R. Paul,R. Santorum
,,,48.80%,51.20%,0.00%,0.00%,,,43.40%,24.40%,18.80%,8.50%,4.20%,0.30%,0.20%,0.10%,0.00%,0.00%,0.00%,,,,50.00%,50.00%,0.00%,0.00%,,,39.90%,25.40%,23.10%,8.00%,3.20%,0.20%,0.10%,0.10%,0.10%,0.00%,0.00%,,,,54.90%,45.10%,0.00%,0.00%,,,48.90%,24.60%,19.10%,3.60%,3.40%,0.20%,0.10%,0.00%,0.00%,0.00%,0.00%,,,,54.10%,45.90%,0.00%,0.00%,,,36.40%,27.10%,25.90%,6.10%,4.30%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,44.20%,55.80%,0.00%,0.00%,,,25.30%,43.80%,21.20%,7.30%,1.60%,0.30%,0.30%,0.10%,0.00%,0.00%,0.00%,,,,31.80%,68.20%,0.00%,0.00%,,,62.20%,12.20%,10.80%,9.50%,4.10%,1.40%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,13.60%,86.40%,0.00%,0.00%,,,41.50%,34.40%,15.90%,4.10%,3.60%,0.50%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,33.80%,66.30%,0.00%,0.00%,,,41.80%,21.90%,21.10%,9.80%,4.90%,0.20%,0.10%,0.10%,0.00%,0.00%,0.00%,,,,29.00%,69.60%,1.40%,0.00%,,,39.80%,35.70%,17.30%,4.80%,2.20%,0.20%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,60.30%,39.70%,0.00%,0.00%,,,28.80%,44.60%,16.10%,9.50%,1.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,52.40%,47.60%,0.00%,0.00%,,,,48.20%,24.50%,17.40%,7.20%,2.30%,0.10%,0.10%,0.10%,0.10%,0.00%,0.00%,,,,,53.40%,46.60%,0.00%,0.00%,,,,50.80%,19.90%,19.40%,6.80%,3.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,58.80%,40.60%,0.60%,0.00%,,,,56.50%,23.50%,12.70%,4.80%,1.40%,0.60%,0.40%,0.10%,0.10%,0.10%,0.00%,,,,,49.30%,47.80%,3.00%,0.00%,,,,40.70%,28.30%,19.70%,7.20%,4.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,52.10%,47.90%,0.00%,0.00%,,,,42.90%,21.10%,18.70%,15.20%,2.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,54.20%,45.70%,0.10%,0.00%,,,,44.10%,24.60%,20.90%,5.10%,4.70%,0.20%,0.20%,0.10%,0.00%,0.00%,0.00%,,,,,50.50%,49.50%,0.00%,0.00%,,,,39.50%,26.90%,22.50%,6.00%,3.90%,0.70%,0.20%,0.20%,0.00%,0.00%,0.00%
,,,79,83,0,0,,,"1,066",600,462,208,102,7,4,3,1,1,0,,,,46,46,0,0,,,538,342,312,108,43,3,1,1,1,0,0,,,,"4,767","3,920",3,0,,,"20,132","10,114","7,857","1,488","1,399",100,26,10,8,6,6,,,,85,72,0,0,,,"1,683","1,251","1,195",281,199,3,2,1,1,1,1,,,,38,48,0,0,,,600,"1,039",503,172,37,8,6,2,1,1,1,,,,7,15,0,0,,,46,9,8,7,3,1,0,0,0,0,0,,,,3,19,0,0,,,81,67,31,8,7,1,0,0,0,0,0,,,,27,53,0,0,,,361,189,182,85,42,2,1,1,0,0,0,,,,20,48,1,0,,,165,148,72,20,9,1,0,0,0,0,0,,,,38,25,0,0,,,82,127,46,27,3,0,0,0,0,0,0,,,,,88,80,0,0,,,,"1,399",711,506,208,67,3,2,2,2,0,0,,,,,39,34,0,0,,,,97,38,37,13,6,0,0,0,0,0,0,,,,,94,65,1,0,,,,980,408,220,83,24,10,7,1,1,1,0,,,,,33,32,2,0,,,,118,82,57,21,12,0,0,0,0,0,0,,,,,38,35,0,0,,,,161,79,70,57,8,0,0,0,0,0,0,,,,,"1,035",872,1,0,,,,"6,850","3,815","3,240",794,731,36,28,12,7,6,2,,,,,47,46,0,0,,,,172,117,98,26,17,3,1,1,0,0,0
