"fip","H.Clinton"
"4009","937"
"4011","497"
"4012","309"
"4013","126988"
"4015","4170"
"4017","4415"
"4019","56317"
"4021","9771"
"4023","2496"
"4025","8401"
"4027","4358"
"49001","0"
"49003","90"
"49005","630"
"49007","128"
"49009","1"
"49011","747"
"49013","37"
"49015","26"
"49017","23"
"49019","161"
"49021","142"
"49023","16"
"49025","50"
"49027","9"
"49029","39"
"49031","0"
"49033","0"
"49035","9431"
"49037","44"
"49039","44"
"49041","34"
"49043","751"
"49045","240"
"49047","39"
"49049","1011"
"49051","170"
"49053","660"
"49055","30"
"49057","1113"
