"fip","H.Clinton"
"40051","1629"
"40053","125"
"40055","164"
"40057","122"
"40059","68"
"40061","475"
"40063","537"
"40065","505"
"40067","197"
"40069","260"
"40071","1288"
"40073","268"
"40075","331"
"40077","499"
"40079","1498"
"40081","1161"
"40083","1314"
"40085","314"
"40093","140"
"40095","400"
"40097","1659"
"40087","1157"
"40089","712"
"40091","1022"
"40099","544"
"40101","3381"
"40103","362"
"40105","406"
"40107","421"
"40109","34255"
"40111","1867"
"40113","2390"
"40115","972"
"40117","603"
"40119","2622"
"40121","1717"
"40123","1186"
"40125","2300"
"40127","317"
"40129","100"
"40131","2810"
"40133","932"
"40135","1359"
"40137","1174"
"40139","267"
"40141","214"
"40143","25372"
"40145","2493"
"40147","1649"
"40149","292"
"40151","217"
"40153","343"
"47001","2328"
"47003","1208"
"47005","560"
"47007","398"
"47009","2736"
"47011","1644"
"47013","656"
"47015","439"
"47017","721"
"47019","774"
"47021","1065"
"47023","342"
"47025","544"
"47027","270"
"47029","463"
"47031","1503"
"47033","424"
"47035","1312"
"47037","43691"
"47039","330"
"47041","641"
"47043","1497"
"47045","822"
"47047","2003"
"47049","352"
"47051","1590"
"47053","1549"
"47055","915"
"47057","283"
"47059","1079"
"47061","445"
"47063","951"
"47065","15598"
"47067","80"
"47069","1721"
"47071","591"
"47073","906"
"47075","1197"
"47077","443"
"47079","957"
"47081","543"
"47083","320"
"47085","737"
"47087","407"
"47089","735"
"47091","245"
"47093","13137"
"47095","186"
"47097","1035"
"47099","1332"
"47101","232"
"47103","728"
"47105","1026"
"47111","343"
"47113","4351"
"47115","1046"
"47117","838"
"47119","2366"
"47107","1027"
"47109","719"
"47121","354"
"47123","1232"
"47125","5555"
"47127","209"
"47129","356"
"47131","760"
"47133","885"
"47135","215"
"47137","214"
"47139","757"
"47141","1916"
"47143","503"
"47145","1454"
"47147","1918"
"47149","8243"
"47151","273"
"47153","273"
"47155","1259"
"47157","66465"
"47159","654"
"47161","527"
"47163","2653"
"47165","4225"
"47167","1454"
"47169","321"
"47171","244"
"47173","316"
"47175","242"
"47177","1318"
"47179","2444"
"47181","208"
"47183","860"
"47185","688"
"47187","6055"
"47189","3873"
"48001","994"
"48003","76"
"48005","1950"
"48007","488"
"48009","99"
"48011","1"
"48013","1355"
"48015","492"
"48017","84"
"48019","378"
"48021","2894"
"48023","46"
"48025","1132"
"48027","7416"
"48029","76502"
"48031","229"
"48033","4"
"48035","353"
"48037","2436"
"48039","8996"
"48041","3559"
"48043","699"
"48045","16"
"48047","1603"
"48049","319"
"48051","469"
"48053","871"
"48055","1657"
"48057","1024"
"48059","86"
"48061","20326"
"48063","484"
"48065","50"
"48067","777"
"48069","127"
"48071","687"
"48073","989"
"48075","54"
"48077","120"
"48079","4"
"48081","25"
"48083","75"
"48085","23591"
"48087","36"
"48089","474"
"48091","3109"
"48093","217"
"48095","27"
"48097","449"
"48099","1010"
"48101","26"
"48103","62"
"48105","266"
"48107","131"
"48109","355"
"48111","24"
"48113","113574"
"48115","92"
"48117","200"
"48119","110"
"48121","16470"
"48123","293"
"48125","13"
"48127","1804"
"48129","33"
"48131","2272"
"48133","171"
"48135","1852"
"48137","42"
"48141","36067"
"48139","3719"
"48143","427"
"48145","551"
"48147","505"
"48149","584"
"48151","226"
"48153","60"
"48155","80"
"48157","29248"
"48159","163"
"48161","380"
"48163","1864"
"48165","91"
"48167","9435"
"48169","35"
"48171","813"
"48173","4"
"48175","389"
"48177","368"
"48179","111"
"48181","1940"
"48183","3411"
"48185","583"
"48187","3787"
"48189","312"
"48191","63"
"48193","118"
"48195","21"
"48197","71"
"48199","625"
"48201","156729"
"48203","2043"
"48205","29"
"48207","159"
"48209","6625"
"48211","15"
"48213","1593"
"48215","40276"
"48217","718"
"48219","183"
"48221","928"
