"state","ansi_code","votes","delegates"
"IA",19,51666,3.74368464311831
"NH",33,33189,2.40485328108337
"SC",45,164790,11.940575859162
"NV",32,16079,1.16507384695349
"AL",1,180608,13.0867378164424
"AK",2,7973,0.577718376874197
"AR",5,123873,8.97575674131912
"GA",13,305109,22.1079990279329
"MA",25,60473,4.38183411572975
"MN",27,32684,2.36826131064295
"OK",40,157941,11.444301788773
"TN",47,211159,15.3004433390667
"TX",48,1239370,89.8039413955316
"VT",50,5929,0.429611470774754
"VA",51,173193,12.5494517554211
"KS",20,35207,2.55107624415024
"KY",21,72503,5.25352006503322
"LA",22,113949,8.25667017765431
"ME",23,8550,0.619527420327904
"HI",15,4379,0.317299482294257
"ID",16,100942,7.31419144593442
"MI",26,330015,23.912671534446
"MS",28,147065,10.656233926377
"DC",11,351,0.0254332309397771
"FL",12,403640,29.2474909872696
"IL",17,430170,31.1698374739713
"MO",29,380367,27.5611445950718
"NC",37,418740,30.3416271331119
"OH",39,267592,19.3895416912731
"AZ",4,132147,9.57528538176276
"UT",49,122567,8.88112483360588
"WI",55,531129,38.4852607288116
